name,phone_no,address
"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",1234567891,Paper
"Eldon Expressions™ Desk Accessory, Wood Pencil Holder, Oak",1234567891,Office Furnishings
Bell Sonecor JB700 Caller ID,1234567891,Telephones and Communication
Avery Arch Ring Binders,1234567891,Binders and Binder Accessories
APC 7 Outlet Network SurgeArrest Surge Protector,1234567891,Appliances
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",1234567891,Office Furnishings
Accessory4,1234567891,Telephones and Communication
Personal Creations™ Ink Jet Cards and Labels,1234567891,Paper
High Speed Automatic Electric Letter Opener,1234567891,"Scissors, Rulers and Trimmers"
Xerox 1966,1234567891,Paper
Xerox 213,1234567891,Paper
"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",1234567891,Pens & Art Supplies
Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),1234567891,Paper
"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",1234567891,Paper
Crate-A-Files™,1234567891,Storage & Organization
"Angle-D Binders with Locking Rings, Label Holders",1234567891,Binders and Binder Accessories
"80 Minute CD-R Spindle, 100/Pack - Staples",1234567891,Computer Peripherals
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",1234567891,Bookcases
12-1/2 Diameter Round Wall Clock,1234567891,Office Furnishings
SAFCO Arco Folding Chair,1234567891,Chairs & Chairmats
"#10 White Business Envelopes,4 1/8 x 9 1/2",1234567891,Envelopes
3M Office Air Cleaner,1234567891,Appliances
"Global Leather and Oak Executive Chair, Black",1234567891,Chairs & Chairmats
Xerox 1936,1234567891,Paper
Xerox 214,1234567891,Paper
Carina Double Wide Media Storage Towers in Natural & Black,1234567891,Storage & Organization
Staples® General Use 3-Ring Binders,1234567891,Binders and Binder Accessories
Xerox 1904,1234567891,Paper
Luxo Professional Combination Clamp-On Lamps,1234567891,Office Furnishings
Xerox 217,1234567891,Paper
Revere Boxed Rubber Bands by Revere,1234567891,Rubber Bands
"Acco Smartsocket™ Table Surge Protector, 6 Color-Coded Adapter Outlets",1234567891,Appliances
"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",1234567891,Storage & Organization
Hon 4070 Series Pagoda™ Round Back Stacking Chairs,1234567891,Chairs & Chairmats
Xerox 1887,1234567891,Paper
Xerox 1891,1234567891,Paper
Avery 506,1234567891,Labels
"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",1234567891,Bookcases
"Lifetime Advantage™ Folding Chairs, 4/Carton",1234567891,Chairs & Chairmats
Microsoft Natural Multimedia Keyboard,1234567891,Computer Peripherals
"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",1234567891,Paper
"GBC Pre-Punched Binding Paper, Plastic, White, 8-1/2"" x 11""",1234567891,Binders and Binder Accessories
Bevis Boat-Shaped Conference Table,1234567891,Tables
"Linden® 12"" Wall Clock With Oak Frame",1234567891,Office Furnishings
Newell 326,1234567891,Pens & Art Supplies
Prismacolor Color Pencil Set,1234567891,Pens & Art Supplies
Xerox Blank Computer Paper,1234567891,Paper
600 Series Flip,1234567891,Telephones and Communication
